step, mean infection rate, std. dev
0,0.0126,0.0008
600,0.0156,0.0071
1200,0.0197,0.0110
1800,0.0235,0.0165
2400,0.0279,0.0179
3000,0.0311,0.0212
3600,0.0355,0.0250
4200,0.0434,0.0336
4800,0.0499,0.0390
5400,0.0564,0.0456
6000,0.0620,0.0492
6600,0.0712,0.0579
7200,0.0816,0.0667
7800,0.0937,0.0738
8400,0.1033,0.0804
9000,0.1122,0.0856
9600,0.1236,0.0944
10200,0.1414,0.1046
10800,0.1564,0.1123
11400,0.1720,0.1243
12000,0.1874,0.1327
12600,0.2062,0.1433
13200,0.2251,0.1568
13800,0.2443,0.1647
14400,0.2642,0.1741
15000,0.2843,0.1867
15600,0.3056,0.1973
16200,0.3270,0.2081
16800,0.3470,0.2162
17400,0.3666,0.2250
18000,0.3897,0.2355
18600,0.4093,0.2411
19200,0.4301,0.2495
19800,0.4502,0.2536
20400,0.4752,0.2594
21000,0.4984,0.2632
21600,0.5194,0.2688
22200,0.5421,0.2701
22800,0.5615,0.2746
23400,0.5838,0.2778
24000,0.6030,0.2769
24600,0.6215,0.2764
25200,0.6404,0.2734
25800,0.6590,0.2697
26400,0.6770,0.2680
27000,0.6948,0.2652
27600,0.7102,0.2588
28200,0.7291,0.2503
28800,0.7467,0.2454
29400,0.7632,0.2403
30000,0.7775,0.2330
30600,0.7926,0.2235
31200,0.8061,0.2149
31800,0.8190,0.2057
32400,0.8311,0.1954
33000,0.8405,0.1880
33600,0.8541,0.1795
34200,0.8657,0.1718
34800,0.8747,0.1652
35400,0.8853,0.1558
36000,0.8957,0.1447
36600,0.9030,0.1392
37200,0.9101,0.1332
37800,0.9192,0.1240
38400,0.9266,0.1182
39000,0.9324,0.1123
39600,0.9395,0.1042
40200,0.9443,0.0982
40800,0.9482,0.0920
41400,0.9545,0.0852
42000,0.9587,0.0779
42600,0.9616,0.0729
43200,0.9649,0.0666
43800,0.9682,0.0636
44400,0.9713,0.0604
45000,0.9743,0.0568
45600,0.9785,0.0484
46200,0.9806,0.0439
46800,0.9819,0.0422
47400,0.9832,0.0387
48000,0.9844,0.0380
48600,0.9868,0.0337
49200,0.9868,0.0337
49800,0.9879,0.0327
50400,0.9889,0.0290
51000,0.9894,0.0287
51600,0.9897,0.0286
52200,0.9907,0.0275
52800,0.9926,0.0199
53400,0.9929,0.0196
54000,0.9934,0.0195
54600,0.9936,0.0193
55200,0.9936,0.0193
55800,0.9947,0.0138
56400,0.9950,0.0122
57000,0.9955,0.0119
57600,0.9960,0.0104
58200,0.9966,0.0089
58800,0.9968,0.0088
59400,0.9971,0.0088
60000,0.9971,0.0088
60600,0.9974,0.0076
61200,0.9974,0.0076
61800,0.9979,0.0062
62400,0.9982,0.0060
63000,0.9982,0.0060
63600,0.9984,0.0059
64200,0.9987,0.0048
64800,0.9989,0.0046
65400,0.9989,0.0046
66000,0.9992,0.0032
66600,0.9994,0.0027
67200,0.9994,0.0027
67800,0.9997,0.0019
68400,0.9997,0.0019
69000,0.9997,0.0019
69600,0.9997,0.0019
70200,0.9997,0.0019
70800,0.9997,0.0019
71400,0.9997,0.0019
72000,0.9997,0.0019
72600,0.9997,0.0019
73200,1.0000,0.0000
